Type,cdd_uid,name-symbol
A,176474,DNA_pol_A_pol_I_C
A,176476,DNA_pol_A_Aquificae_like
A,176477,DNA_pol_A_plastid_like
A,176479,DNA_pol_A_pol_I_A
A,176480,DNA_pol_A_pol_I_B
Y,176454,PolY_Pol_V_umuC
Y,176458,PolY_like
Y,176459,PolY_Pol_IV_kappa
B,99914,POLBc_B2
B,99920,POLBc_Pol_II
B,99921,POLBc_Pol_II_B
C,234767,polC
C,273161,polc
C,225087,PolC
C,273601,polC_Gram_pos
C,213988,PHP_PolIIIA_DnaE1
C,213989,PHP_PolIIIA_DnaE2
C,213990,PHP_PolIIIA_POLC
C,213997,PHP_PolIIIA_DnaE3
C,239931,DnaE_OBF
C,239930,polC_OBF
X,213991,PHP_PolX
X,431250,DNA_pol_lambd_f
X,143386,NT_POLXc
A,235591,PRK05755
C,235553,dnaE2
C,235554,dnaE
B,235595,PRK05762
Y,235035,PRK02406 (DNA polymerase IV; Validated)
