Type,cdd_uid,C3
A,176474,DNA_pol_A_pol_I_C
A,176476,DNA_pol_A_Aquificae_like
A,176477,DNA_pol_A_plastid_like
A,176479,DNA_pol_A_pol_I_A
A,176480,DNA_pol_A_pol_I_B
A,273160,PolA
A,223820,PolA
Y,176454,PolY_Pol_V_umuC
Y,176458,PolY_like
Y,176459,PolY_Pol_IV_kappa
Y,179607,umuC
Y,398707,DinB
Y,226733,DinB_unk
Y,225200,DinB_Unk
Y,451280,DinB
Y,432841,DinB_super
Y,430270,umuD
B,99914,POLBc_B2
B,99920,POLBc_Pol_II
B,99921,POLBc_Pol_II_B
B,223494,PolB
B,353046,POLBc
C,234767,polC
C,273161,polc
C,225087,PolC
C,273601,polC_Gram_pos
C,213988,PHP_PolIIIA_DnaE1
C,213989,PHP_PolIIIA_DnaE2
C,213990,PHP_PolIIIA_POLC
C,213997,PHP_PolIIIA_DnaE3
C,239931,DnaE_OBF
C,239930,polC_OBF
C,235944,danE
C,235868,dnaE
C,180917,dnaE
C,235554,dnaE
C,223660,dnaE
C,180749,dnaE
C,168927,dnaE
C,135648,dnaE
C,235553,dnaE2
X,213991,PHP_PolX
X,431250,DNA_pol_lambd_f
X,143386,NT_POLXc
B,235595,PRK05762
Y,235035,PRK02406 (DNA polymerase IV; Validated)
A,235591,PRK05755
