taxon_id,organism,accession,gc_count,seq_length,chromosomes,gene_total,gene_num_protein_coding,gene_num_non_coding,gene_num_pseudogene
511145,Escherichia coli str. K-12 substr. MG1655,GCF_000005845.2,2357528,4641652,1,4639,4288,206,145
306537,Corynebacterium jeikeium K411,GCF_000006605.1,1519564,2476822,2,2179,2055,62,62
243161,Chlamydia muridarum str. Nigg,GCF_000006685.1,435470,1080451,2,942,891,46,5
208964,Pseudomonas aeruginosa PAO1,GCF_000006765.1,4169320,6264404,1,5697,5572,106,19
272843,Pasteurella multocida subsp. multocida str. Pm70,GCF_000006825.1,912135,2257487,1,2107,2023,80,4
198214,Shigella flexneri 2a str. 301,GCF_000006925.2,2446009,4828820,2,4788,4313,129,343
99287,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,GCF_000006945.2,2586547,4951383,2,4714,4548,118,41
194439,Chlorobaculum tepidum TLS,GCF_000006985.1,1218183,2154946,1,2094,1994,59,41
272944,Rickettsia conorii str. Malish 7,GCF_000007025.1,411569,1268755,1,1416,1303,40,73
273068,Caldanaerobacter subterraneus subsp. tengcongensis MB4,GCF_000007085.1,1010449,2689445,1,2705,2543,73,89
264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GCF_000007105.1,952673,2056363,1,1818,1737,63,18
224914,Brucella melitensis bv. 1 str. 16M,GCF_000007125.1,1885435,3294931,2,3186,2897,67,222
182082,Chlamydia pneumoniae TW-183,GCF_000007205.1,497438,1225935,1,1088,1036,44,8
183190,Xylella fastidiosa Temecula1,GCF_000007245.1,1305386,2521148,2,2244,2142,59,43
204722,Brucella suis 1330,GCF_000007505.1,1897981,3315175,2,3179,2985,68,126
227941,Chlamydia caviae GPIC,GCF_000007605.1,462922,1181356,2,1038,988,44,6
212717,Clostridium tetani E88,GCF_000007625.1,822936,2873333,2,2849,2729,76,44
221988,[Mannheimia] succiniciproducens MBEL55E,GCF_000007745.1,984362,2314078,1,2190,2077,82,31
227377,Coxiella burnetii RSA 493,GCF_000007765.2,865989,2032807,2,2085,1833,45,207
223283,Pseudomonas syringae pv. tomato str. DC3000,GCF_000007805.1,3814368,6538260,3,5918,5609,83,226
235279,Helicobacter hepaticus ATCC 51449,GCF_000007905.1,646456,1799146,1,1850,1799,43,8
167539,Prochlorococcus marinus subsp. marinus str. CCMP1375,GCF_000007925.1,638131,1751080,1,1893,1838,46,9
243231,Geobacter sulfurreducens PCA,GCF_000007985.2,2324234,3814128,1,3482,3397,58,27
243275,Treponema denticola ATCC 35405,GCF_000008185.1,1076827,2843201,1,2620,2542,53,25
265311,Mesoplasma florum L1,GCF_000008305.1,214333,793224,1,724,679,38,7
243233,Methylococcus capsulatus str. Bath,GCF_000008325.1,2101191,3304561,1,3092,2993,56,43
267748,Mycoplasma mobile 163K,GCF_000008365.1,193891,777079,1,691,649,34,8
292805,Wolbachia endosymbiont strain TRS of Brugia malayi,GCF_000008385.1,369163,1080084,1,1074,981,41,52
261594,Bacillus anthracis str. 'Ames Ancestor',GCF_000008445.1,1939746,5503926,3,5743,5237,133,373
283942,Idiomarina loihiensis L2TR,GCF_000008465.1,1335622,2839318,1,2715,2628,72,15
224324,Aquifex aeolicus VF5,GCF_000008625.1,688838,1590791,2,1810,1724,52,34
272561,Chlamydia trachomatis D/UW-3/CX,GCF_000008725.1,430636,1042519,1,935,887,45,3
386585,Escherichia coli O157:H7 str. Sakai,GCF_000008865.2,2824389,5594605,3,5417,5155,126,136
224308,Bacillus subtilis subsp. subtilis str. 168,GCF_000009045.1,1834396,4215606,1,4536,4237,211,88
192222,Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819,GCF_000009085.1,501449,1641481,1,1668,1572,56,40
228410,Nitrosomonas europaea ATCC 19718,GCF_000009145.1,1426243,2812094,1,2660,2541,48,71
382638,Helicobacter acinonychis str. Sheeba,GCF_000009305.1,594516,1557588,2,1558,1397,45,116
393595,Alcanivorax borkumensis SK2,GCF_000009365.1,1707585,3120143,1,2826,2750,55,21
227882,Streptomyces avermitilis MA-4680 = NBRC 14893,GCF_000009765.2,6447889,9119895,2,8044,7615,96,333
235909,Geobacillus kaustophilus HTA426,GCF_000009785.1,1867483,3592666,2,3636,3379,119,138
247156,Nocardia farcinica IFM 10152,GCF_000009805.1,4448204,6292344,3,6034,5905,66,63
292459,Symbiobacterium thermophilum IAM 14863,GCF_000009905.1,2448808,3566135,1,3389,3194,119,76
264202,Chlamydia felis Fe/C-56,GCF_000009945.1,461772,1173791,2,1026,973,44,9
342108,Magnetospirillum magneticum AMB-1,GCF_000009985.1,3233291,4967148,1,4739,4589,60,90
343509,Sodalis glossinidius str. 'morsitans',GCF_000010085.1,2339626,4292502,4,4954,3623,99,1232
334380,Orientia tsutsugamushi str. Ikeda,GCF_000010205.1,613018,2008987,1,2094,1613,40,441
583346,Clostridium kluyveri NBRC 12016,GCF_000010265.1,1266261,3955303,2,3892,3715,85,92
379066,Gemmatimonas aurantiaca T-27,GCF_000010305.1,2980379,4636964,1,3995,3917,55,23
412965,Candidatus Vesicomyosocius okutanii,GCF_000010405.1,322949,1022154,1,990,943,42,5
431947,Porphyromonas gingivalis ATCC 33277,GCF_000010505.1,1138806,2354886,1,2059,1920,67,72
438753,Azorhizobium caulinodans ORS 571,GCF_000010525.1,3614878,5369772,1,4892,4755,66,71
455632,Streptomyces griseus subsp. griseus NBRC 13350,GCF_000010605.1,6172503,8545929,1,7226,6994,88,144
573370,Solidesulfovibrio magneticus RS-1,GCF_000010665.1,3331529,5315620,3,4711,4586,68,57
639282,Deferribacter desulfuricans SSM1,GCF_000010985.1,770784,2542933,2,2522,2454,53,15
272558,Halalkalibacterium halodurans C-125,GCF_000011145.1,1835819,4202352,1,4163,3954,108,101
272633,Malacoplasma penetrans HF-2,GCF_000011225.1,349407,1358633,1,1067,1019,36,12
221109,Oceanobacillus iheyensis HTE831,GCF_000011245.1,1295420,3630528,1,3614,3467,97,50
196164,Corynebacterium efficiens YS-314,GCF_000011305.1,2027445,3219505,3,2943,2816,74,53
197221,Thermosynechococcus vestitus BP-1,GCF_000011345.1,1398554,2593857,1,2526,2441,47,38
251221,Gloeobacter violaceus PCC 7421,GCF_000011385.1,2888492,4659019,1,4570,4467,51,52
264201,Candidatus Protochlamydia amoebophila UWE25,GCF_000011565.2,847767,2438912,1,1965,1831,49,85
291272,Candidatus Blochmannia pennsylvanicus str. BPEN,GCF_000011745.1,234050,791654,1,661,610,45,6
246200,Ruegeria pomeroyi DSS-3,GCF_000011965.2,2947874,4601048,2,4469,4353,64,52
314724,Borrelia turicatae 91E135,GCF_000012085.2,343520,1165365,9,1137,1052,38,47
259536,Psychrobacter arcticus 273-4,GCF_000012305.1,1134506,2650701,1,2262,2137,64,61
167879,Colwellia psychrerythraea 34H,GCF_000012325.1,2042100,5373180,1,4570,4403,120,47
335992,Candidatus Pelagibacter ubique HTCC1062,GCF_000012345.1,388480,1308759,1,1379,1338,36,5
319225,Pelodictyon luteolum DSM 273,GCF_000012485.1,1355765,2364842,1,2224,2146,57,21
1140,Synechococcus elongatus PCC 7942 = FACHB-805,GCF_000012525.1,1519940,2742269,2,2767,2705,55,7
269484,Ehrlichia canis str. Jake,GCF_000012565.1,380803,1315030,1,989,935,42,12
207559,Oleidesulfovibrio alaskensis G20,GCF_000012665.1,2157422,3730232,1,3377,3248,83,46
246197,Myxococcus xanthus DK 1622,GCF_000012685.1,6296496,9139763,1,7364,7199,82,83
323098,Nitrobacter winogradskyi Nb-255,GCF_000012725.1,2110965,3402093,1,3194,3047,56,91
340047,Mycoplasma capricolum subsp. capricolum ATCC 27343,GCF_000012765.1,240087,1010023,1,878,825,39,14
323261,Nitrosococcus oceani ATCC 19707,GCF_000012805.1,1773098,3522111,2,3323,3215,55,53
246194,Carboxydothermus hydrogenoformans Z-2901,GCF_000012865.1,1009832,2401520,1,2534,2445,66,23
338963,Syntrophotalea carbinolica DSM 2380,GCF_000012885.1,2020411,3665893,1,3251,3161,64,26
269799,Geobacter metallireducens GS-15,GCF_000012925.1,2386067,4011182,2,3673,3575,60,38
482957,Burkholderia lata,GCF_000012945.1,5749981,8676277,3,7855,7692,91,72
326298,Sulfurimonas denitrificans DSM 1251,GCF_000012965.1,758701,2201561,1,2209,2132,60,17
349521,Hahella chejuensis KCTC 2396,GCF_000012985.1,3886846,7215267,1,6402,6259,86,57
228405,Hyphomonas neptunium ATCC 15444,GCF_000013025.1,2294530,3705021,1,3550,3476,49,25
222891,Neorickettsia sennetsu str. Miyayama,GCF_000013165.1,352917,859006,1,795,752,39,4
279238,Novosphingobium aromaticivorans DSM 12444,GCF_000013325.1,2756420,4233314,3,4074,3976,68,30
106370,Frankia casuarinae,GCF_000013345.1,3807822,5433628,1,4740,4501,53,186
56780,Syntrophus aciditrophicus SB,GCF_000013405.1,1636069,3179300,1,2939,2854,56,29
93061,Staphylococcus aureus subsp. aureus NCTC 8325,GCF_000013425.1,927332,2821361,1,2872,2767,75,30
338969,Rhodoferax ferrireducens T118,GCF_000013605.1,2961794,4969784,2,4635,4498,54,83
266265,Paraburkholderia xenovorans LB400,GCF_000013645.1,6094399,9731138,3,8816,8447,87,282
203122,Saccharophagus degradans 2-40,GCF_000013665.1,2317668,5057531,1,4138,4064,51,23
265072,Methylobacillus flagellatus KT,GCF_000013705.1,1655702,2971517,1,2868,2785,55,28
318161,Shewanella denitrificans OS217,GCF_000013765.1,2052439,4545906,1,3957,3772,121,64
323097,Nitrobacter hamburgensis X14,GCF_000013885.1,3087965,5011522,4,4877,4457,59,361
317655,Sphingopyxis alaskensis RB2256,GCF_000013985.1,2208369,3373713,2,3301,3209,51,41
204669,Candidatus Koribacter versatilis Ellin345,GCF_000014005.1,3298902,5650368,1,4971,4904,54,13
269798,Cytophaga hutchinsonii ATCC 33406,GCF_000014145.1,1722148,4433218,1,3747,3674,51,22
266117,Rubrobacter xylanophilus DSM 9941,GCF_000014185.1,2273397,3225748,1,3308,3186,53,69
278197,Pediococcus pentosaceus ATCC 25745,GCF_000014505.1,684540,1832387,1,1815,1728,73,14
318167,Shewanella frigidimarina NCIMB 400,GCF_000014705.1,2014855,4845257,1,4176,3995,129,52
335541,Syntrophomonas wolfei subsp. wolfei str. Goettingen G311,GCF_000014725.1,1317351,2936195,1,2693,2578,62,53
335283,Nitrosomonas eutropha C91,GCF_000014765.1,1350325,2781824,3,2735,2567,48,120
187272,Alkalilimnicola ehrlichii MLHE-1,GCF_000014785.1,2212286,3275944,1,2964,2873,58,33
156889,Magnetococcus marinus MC-1,GCF_000014865.1,2556478,4719581,1,3849,3735,60,54
225849,Shewanella piezotolerans WP3,GCF_000014885.1,2336231,5396476,1,4637,4437,115,85
335543,Syntrophobacter fumaroxidans MPOB,GCF_000014965.1,2991592,4990251,1,4035,3948,60,27
351607,Acidothermus cellulolyticus 11B,GCF_000015025.1,1634908,2443540,1,2206,2118,51,37
338966,Pelobacter propionicus DSM 2379,GCF_000015045.1,2480337,4241119,3,3923,3809,69,45
360106,Campylobacter fetus subsp. fetus 82-40,GCF_000015085.1,590747,1773615,1,1798,1731,56,11
413404,Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica),GCF_000015105.1,395054,1160782,1,1113,1054,42,17
290317,Chlorobium phaeobacteroides DSM 266,GCF_000015125.1,1515287,3133902,1,2836,2729,56,51
326297,Shewanella amazonensis SB2B,GCF_000015245.1,2307506,4306142,1,3808,3663,130,15
357804,Psychromonas ingrahamii 37,GCF_000015285.1,1827773,4559598,1,3912,3702,120,90
350058,Mycolicibacterium vanbaalenii PYR-1,GCF_000015305.1,4401038,6491865,1,6214,6027,57,130
246195,Dichelobacter nodosus VCS1703A,GCF_000015345.1,616812,1389350,1,1350,1287,58,5
391774,Desulfovibrio vulgaris DP4,GCF_000015485.1,2312426,3661391,2,3169,3069,89,11
365044,Polaromonas naphthalenivorans CJ2,GCF_000015505.1,3309813,5366143,9,5167,4979,60,128
391735,Verminephrobacter eiseniae EF01-2,GCF_000015565.1,3652205,5597943,2,5312,5041,59,212
349124,Halorhodospira halophila SL1,GCF_000015585.1,1820858,2678452,1,2518,2429,56,33
420662,Methylibium petroleiphilum PM1,GCF_000015725.1,3193983,4643639,2,4606,4452,75,79
323850,Shewanella loihica PV-4,GCF_000016065.1,2470074,4602594,1,4042,3895,125,22
349161,Desulforamulus reducens MI-1,GCF_000016165.1,1525335,3608104,1,3616,3454,100,62
414684,Rhodospirillum centenum SW,GCF_000016185.1,3068971,4355543,1,4019,3883,68,68
312153,Polynucleobacter asymbioticus QLW-P1DMWA-1,GCF_000016345.1,968188,2159490,1,2178,2110,45,23
369723,Salinispora tropica CNB-440,GCF_000016425.1,3600394,5183331,1,4740,4545,64,131
351627,Caldicellulosiruptor saccharolyticus DSM 8903,GCF_000016545.1,1047143,2970275,1,2924,2762,59,103
376686,Flavobacterium johnsoniae UW101,GCF_000016645.1,2079817,6096872,1,5248,5140,83,25
351605,Geotalea uraniireducens Rf4,GCF_000016745.1,2785873,5136364,1,4567,4457,61,49
390874,Thermotoga petrophila RKU-1,GCF_000016785.1,840660,1823511,1,1858,1793,52,13
444178,Brucella ovis ATCC 25840,GCF_000016845.1,1873459,3275590,2,3177,2788,66,323
293826,Alkaliphilus metalliredigens QYMF,GCF_000016985.1,1815166,4929566,1,4958,4721,141,96
450851,Phenylobacterium zucineum HLK1,GCF_000017265.1,3113691,4379231,2,4339,4239,49,51
266940,Kineococcus radiotolerans SRS30216 = ATCC BAA-149,GCF_000017305.1,3680088,4956672,3,4785,4619,64,102
452659,Rickettsia rickettsii str. Iowa,GCF_000017445.4,411491,1268201,1,1408,1292,41,75
381764,Fervidobacterium nodosum Rt17-B1,GCF_000017545.1,681921,1948941,1,1866,1796,58,12
402881,Parvibaculum lavamentivorans DS-1,GCF_000017565.1,2439986,3914745,1,3729,3648,52,29
360107,Campylobacter hominis ATCC BAA-381,GCF_000017585.1,544297,1714951,2,1667,1584,56,27
456481,Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)',GCF_000017685.1,1536902,3951448,3,3717,3657,43,17
383372,Roseiflexus castenholzii DSM 13941,GCF_000017805.1,3473474,5723298,1,4607,4503,57,47
43989,Crocosphaera subtropica ATCC 51142,GCF_000017845.1,2071773,5460377,6,5065,4933,53,79
416591,Pseudothermotoga lettingae TMO,GCF_000017865.1,826314,2135342,1,2147,2089,52,6
425104,Shewanella sediminis HAW-EB3,GCF_000018025.1,2542427,5517674,1,4741,4541,168,32
290338,Citrobacter koseri ATCC BAA-895,GCF_000018045.1,2548921,4735357,3,4413,4255,111,47
329726,Acaryochloris marina MBIC11017,GCF_000018105.1,3926263,8361599,10,7592,7246,84,262
398580,Dinoroseobacter shibae DFL 12 = DSM 16493,GCF_000018145.1,2894792,4417868,6,4322,4203,54,65
293614,Rickettsia akari str. Hartford,GCF_000018205.1,398060,1231060,1,1264,1120,39,105
398579,Shewanella pealeana ATCC 700345,GCF_000018285.1,2311069,5174581,1,4463,4242,185,36
350688,Alkaliphilus oremlandii OhILAs,GCF_000018325.1,1132518,3123558,1,3070,2924,117,29
96561,Desulfosudis oleovorans Hxd3,GCF_000018405.1,2215384,3944167,1,3374,3307,54,13
483179,Brucella canis ATCC 23365,GCF_000018525.1,1896317,3312769,2,3169,2966,68,135
403833,Petrotoga mobilis SJ95,GCF_000018605.1,740319,2169548,1,2049,1963,57,29
357809,Lachnoclostridium phytofermentans ISDg,GCF_000018685.1,1713553,4847594,1,4112,3976,89,47
324602,Chloroflexus aurantiacus J-10-fl,GCF_000018865.1,2981443,5258541,1,4111,4007,60,44
288705,Renibacterium salmoninarum ATCC 33209,GCF_000018885.1,1775501,3155250,1,3223,2744,54,425
309803,Thermotoga neapolitana DSM 4359,GCF_000018945.1,884659,1884562,1,1956,1874,54,28
491915,Anoxybacillus flavithermus WK1,GCF_000019045.1,1189278,2846746,1,3015,2817,104,94
340099,Thermoanaerobacter pseudethanolicus ATCC 33223,GCF_000019085.1,815473,2362816,1,2395,2272,73,50
498761,Heliomicrobium modesticaldum Ice1,GCF_000019165.1,1752219,3075407,1,2886,2684,143,59
458817,Shewanella halifaxensis HAW-EB4,GCF_000019185.1,2330728,5226917,1,4520,4318,160,42
306263,Campylobacter lari RM2100,GCF_000019205.1,465526,1571661,2,1634,1552,58,24
1597,Lacticaseibacillus paracasei,GCF_000019245.4,1345776,2898456,2,2747,2634,78,35
505682,Ureaplasma parvum serovar 3 str. ATCC 27815,GCF_000019345.1,191652,751679,1,646,605,39,2
406425,Burkholderia orbicola MC0-3,GCF_000019505.1,5308554,7971389,3,7284,7089,91,104
392500,Shewanella woodyi ATCC 51908,GCF_000019525.1,2593830,5935403,1,5085,4874,165,46
481448,Methylacidiphilum infernorum V4,GCF_000019665.1,1040257,2287145,1,2110,2041,52,17
412418,Borrelia recurrentis A1,GCF_000019705.1,341912,1242163,8,1224,1096,38,90
426355,Methylobacterium radiotolerans JCM 2831,GCF_000019725.1,4900810,6899110,9,6609,6407,83,119
395495,Leptothrix cholodnii SP-6,GCF_000019785.1,3382563,4909403,1,4459,4355,59,45
395963,Beijerinckia indica subsp. indica ATCC 9039,GCF_000019845.1,2517858,4418616,3,3948,3769,63,116
262543,Exiguobacterium sibiricum 255-15,GCF_000019905.1,1450378,3040786,3,3146,3015,100,31
441620,Methylorubrum populi BJ001,GCF_000019945.1,4056880,5848997,3,5534,5358,75,101
452637,Opitutus terrae PB90-1,GCF_000019965.1,3892767,5957605,1,4694,4591,80,23
457570,Natranaerobius thermophilus JW/NM-WN-LF,GCF_000020005.1,1158783,3191453,3,3012,2920,67,25
63737,Nostoc punctiforme PCC 73102,GCF_000020025.1,3746385,9059191,6,7667,7215,100,352
391038,Paraburkholderia phymatum STM815,GCF_000020045.1,5404839,8676562,4,7896,7486,86,324
398527,Paraburkholderia phytofirmans PsJN,GCF_000020125.1,5116650,8214658,3,7416,7210,86,120
445932,Elusimicrobium minutum Pei191,GCF_000020145.1,656638,1643562,1,1585,1463,49,73
320483,Anaplasma marginale str. Florida,GCF_000020305.1,598506,1202435,1,992,913,44,35
177437,Desulforapulum autotrophicum HRM2,GCF_000020365.1,2758941,5657782,2,4957,4827,74,56
398767,Trichlorobacter lovleyi SZ,GCF_000020385.1,2186619,3994874,2,3735,3641,54,40
290315,Chlorobium limicola DSM 245,GCF_000020465.1,1417977,2763181,1,2536,2447,57,32
373903,Halothermothrix orenii H 168,GCF_000020485.1,976684,2578146,1,2493,2403,71,19
517417,Chlorobaculum parvum NCIB 8327,GCF_000020505.1,1277312,2289249,1,2160,2083,58,19
517418,Chloroherpeton thalassium ATCC 35110,GCF_000020525.1,1483337,3293456,1,2780,2710,50,20
452471,Candidatus Amoebophilus asiaticus 5a2,GCF_000020565.1,660376,1884364,1,1467,1270,40,157
290512,Prosthecochloris aestuarii DSM 271,GCF_000020625.1,1292559,2579695,2,2396,2308,52,36
324925,Pelodictyon phaeoclathratiforme BU-1,GCF_000020645.1,1451096,3018238,1,2904,2787,61,56
546414,Deinococcus deserti VCD115,GCF_000020685.1,2427711,3855329,4,3564,3450,62,52
404380,Citrifermentans bemidjiense Bem,GCF_000020725.1,2781399,4615150,1,4124,4015,76,33
309798,Coprothermobacter proteolyticus DSM 5265,GCF_000020945.1,637935,1424912,1,1471,1408,57,6
309799,Dictyoglomus thermophilum H-6-12,GCF_000020965.1,661319,1959987,1,1933,1864,55,14
289376,Thermodesulfovibrio yellowstonii DSM 11347,GCF_000020985.1,683876,2003803,1,2049,1976,55,18
557760,Cereibacter sphaeroides KD131,GCF_000021005.1,3255002,4711139,4,4471,4335,70,66
322710,Azotobacter vinelandii DJ,GCF_000021045.1,3523702,5365318,1,4904,4663,86,155
565575,Ureaplasma urealyticum serovar 10 str. ATCC 33699,GCF_000021265.1,225390,874478,1,694,646,39,9
484019,Thermosipho africanus TCF52B,GCF_000021285.1,621348,2016657,1,2043,1948,60,35
272568,Gluconacetobacter diazotrophicus PA1 5,GCF_000021325.1,2596511,3914947,2,3692,3549,71,72
204536,Sulfurihydrogenibium azorense Az-Fu1,GCF_000021545.1,537435,1640877,1,1767,1711,48,8
123214,Persephonella marina EX-H1,GCF_000021565.1,735664,1983966,2,2093,2036,49,8
515635,Dictyoglomus turgidum DSM 6724,GCF_000021645.1,630099,1855560,1,1868,1803,55,10
309801,Thermomicrobium roseum DSM 5159,GCF_000021685.1,1877592,2920744,2,2626,2541,57,28
598659,Nautilia profundicola AmH,GCF_000021725.1,561735,1676444,1,1799,1726,64,9
395965,Methylocella silvestris BL2,GCF_000021745.1,2716010,4305430,1,3974,3833,59,82
41431,Rippkaea orientalis PCC 8801,GCF_000021805.1,1903484,4787694,4,4538,4397,55,86
65393,Gloeothece citriformis PCC 7424,GCF_000021825.1,2523998,6554169,7,5913,5733,59,121
272942,Rhodobacter capsulatus SB 1003,GCF_000021865.1,2577095,3871920,2,3717,3583,69,65
218208,Desulfatibacillum aliphaticivorans,GCF_000021905.1,3550801,6517073,1,5343,5244,67,32
272564,Desulfitobacterium hafniense DCB-2,GCF_000021925.1,2509560,5279134,1,5001,4859,93,49
326427,Chloroflexus aggregans DSM 9485,GCF_000021945.1,2643636,4684931,1,3873,3780,59,34
396588,Thioalkalivibrio sulfidiphilus HL-EbGr7,GCF_000021985.1,2254142,3464554,1,3375,3264,52,59
565050,Caulobacter vibrioides NA1000,GCF_000022005.1,2715702,4042929,1,None,None,None,None
452863,Pseudarthrobacter chlorophenolicus A6,GCF_000022025.1,3285305,4980870,3,4715,4561,108,46
394503,Ruminiclostridium cellulolyticum H10,GCF_000022065.1,1521865,4068724,1,3534,3383,90,61
460265,Methylobacterium nodulans ORS 2060,GCF_000022085.1,6049764,8839022,8,8666,8080,97,489
455488,Anaeromyxobacter dehalogenans 2CP-1,GCF_000022145.1,3757738,5029329,1,4574,4466,59,49
316067,Geotalea daltonii FRC-32,GCF_000022265.1,2301702,4304501,1,3855,3762,59,34
521460,Caldicellulosiruptor bescii DSM 6725,GCF_000022325.1,1031700,2931662,3,2828,2660,61,107
434131,Neorickettsia risticii str. Illinois,GCF_000022525.1,363178,879977,1,807,759,39,9
240015,Acidobacterium capsulatum ATCC 51196,GCF_000022565.1,2496927,4127356,1,3386,3313,53,20
634504,Bartonella grahamii as4aup,GCF_000022725.1,901302,2369520,2,2008,1875,52,81
